# Top-200 coordinates for heatmap_norm_share_img heatmap (layer, head, value)
layer=4, head=9, value=0.522002
layer=1, head=12, value=0.500656
layer=3, head=10, value=0.467130
layer=1, head=13, value=0.449630
layer=2, head=5, value=0.440263
layer=8, head=8, value=0.301004
layer=2, head=4, value=0.277664
layer=0, head=11, value=0.259177
layer=1, head=10, value=0.253712
layer=8, head=4, value=0.190713
layer=0, head=0, value=0.187831
layer=17, head=1, value=0.165671
layer=2, head=6, value=0.153064
layer=3, head=0, value=0.142799
layer=2, head=7, value=0.139877
layer=23, head=5, value=0.133382
layer=0, head=15, value=0.130152
layer=2, head=14, value=0.128962
layer=2, head=10, value=0.118012
layer=4, head=2, value=0.114141
layer=9, head=6, value=0.111176
layer=4, head=11, value=0.107903
layer=16, head=14, value=0.107431
layer=9, head=2, value=0.101037
layer=9, head=3, value=0.096082
layer=4, head=12, value=0.095248
layer=9, head=15, value=0.091205
layer=8, head=10, value=0.090682
layer=20, head=8, value=0.089350
layer=2, head=8, value=0.089282
layer=12, head=12, value=0.088882
layer=22, head=9, value=0.085043
layer=21, head=3, value=0.081204
layer=20, head=4, value=0.080024
layer=2, head=11, value=0.078721
layer=6, head=15, value=0.076045
layer=8, head=2, value=0.075152
layer=24, head=0, value=0.075084
layer=27, head=7, value=0.074341
layer=22, head=6, value=0.074153
layer=22, head=4, value=0.073970
layer=26, head=3, value=0.072891
layer=22, head=8, value=0.072681
layer=27, head=13, value=0.072645
layer=22, head=12, value=0.069756
layer=12, head=8, value=0.069239
layer=11, head=13, value=0.068622
layer=21, head=13, value=0.067774
layer=3, head=1, value=0.065900
layer=12, head=7, value=0.064375
layer=8, head=14, value=0.062926
layer=4, head=13, value=0.062527
layer=8, head=7, value=0.062207
layer=21, head=0, value=0.062129
layer=14, head=1, value=0.062027
layer=19, head=14, value=0.061803
layer=17, head=13, value=0.061537
layer=11, head=12, value=0.059697
layer=9, head=13, value=0.059140
layer=16, head=12, value=0.059008
layer=14, head=11, value=0.058530
layer=2, head=15, value=0.058102
layer=8, head=15, value=0.057491
layer=8, head=3, value=0.057449
layer=2, head=13, value=0.056698
layer=6, head=1, value=0.056264
layer=23, head=12, value=0.054143
layer=17, head=12, value=0.053977
layer=10, head=11, value=0.053965
layer=7, head=14, value=0.053657
layer=26, head=0, value=0.053249
layer=20, head=15, value=0.052812
layer=12, head=13, value=0.052598
layer=18, head=1, value=0.052195
layer=22, head=5, value=0.051794
layer=26, head=4, value=0.051235
layer=24, head=2, value=0.050851
layer=9, head=8, value=0.050386
layer=11, head=8, value=0.049751
layer=0, head=6, value=0.049630
layer=15, head=2, value=0.049282
layer=18, head=15, value=0.048690
layer=25, head=8, value=0.048620
layer=0, head=5, value=0.048401
layer=18, head=0, value=0.048277
layer=5, head=5, value=0.048119
layer=24, head=12, value=0.047121
layer=1, head=5, value=0.046688
layer=17, head=7, value=0.046679
layer=20, head=10, value=0.046263
layer=17, head=3, value=0.045619
layer=12, head=9, value=0.045180
layer=21, head=8, value=0.044892
layer=11, head=11, value=0.044034
layer=26, head=7, value=0.043939
layer=21, head=4, value=0.042271
layer=17, head=11, value=0.042191
layer=10, head=3, value=0.041574
layer=20, head=6, value=0.041180
layer=26, head=14, value=0.040540
layer=8, head=1, value=0.040316
layer=27, head=9, value=0.039716
layer=26, head=8, value=0.039546
layer=26, head=15, value=0.039340
layer=3, head=12, value=0.039274
layer=19, head=12, value=0.038498
layer=24, head=13, value=0.038424
layer=9, head=14, value=0.038417
layer=25, head=4, value=0.038320
layer=17, head=0, value=0.037860
layer=0, head=14, value=0.037665
layer=16, head=13, value=0.037575
layer=20, head=13, value=0.036635
layer=3, head=13, value=0.036450
layer=22, head=10, value=0.036181
layer=1, head=8, value=0.036014
layer=19, head=5, value=0.035936
layer=25, head=5, value=0.035770
layer=6, head=11, value=0.035498
layer=26, head=2, value=0.035431
layer=18, head=8, value=0.035207
layer=25, head=0, value=0.035201
layer=9, head=12, value=0.035147
layer=4, head=10, value=0.034928
layer=13, head=15, value=0.034743
layer=22, head=0, value=0.034319
layer=12, head=6, value=0.034202
layer=12, head=15, value=0.033797
layer=24, head=14, value=0.033592
layer=21, head=14, value=0.033410
layer=7, head=5, value=0.033385
layer=9, head=4, value=0.033313
layer=21, head=5, value=0.032999
layer=6, head=14, value=0.032932
layer=13, head=2, value=0.032474
layer=3, head=2, value=0.032467
layer=26, head=5, value=0.032289
layer=19, head=3, value=0.032226
layer=1, head=6, value=0.032196
layer=21, head=15, value=0.031712
layer=3, head=15, value=0.031671
layer=25, head=10, value=0.031610
layer=14, head=2, value=0.031504
layer=10, head=1, value=0.031306
layer=3, head=11, value=0.030735
layer=10, head=7, value=0.030569
layer=25, head=13, value=0.030146
layer=19, head=6, value=0.029822
layer=24, head=9, value=0.029639
layer=23, head=7, value=0.029502
layer=19, head=7, value=0.029429
layer=24, head=4, value=0.029211
layer=18, head=7, value=0.029060
layer=14, head=0, value=0.028735
layer=27, head=15, value=0.028718
layer=8, head=5, value=0.028449
layer=12, head=14, value=0.028319
layer=19, head=13, value=0.028000
layer=21, head=1, value=0.027844
layer=24, head=7, value=0.027831
layer=3, head=14, value=0.027794
layer=19, head=2, value=0.027723
layer=26, head=13, value=0.027564
layer=16, head=4, value=0.027427
layer=15, head=0, value=0.027268
layer=22, head=11, value=0.027240
layer=16, head=7, value=0.026970
layer=13, head=7, value=0.026783
layer=25, head=2, value=0.026565
layer=6, head=13, value=0.026513
layer=0, head=8, value=0.026441
layer=16, head=9, value=0.026321
layer=23, head=4, value=0.026124
layer=16, head=6, value=0.025996
layer=21, head=11, value=0.025989
layer=16, head=1, value=0.025963
layer=25, head=9, value=0.025557
layer=14, head=10, value=0.025316
layer=20, head=12, value=0.025196
layer=9, head=9, value=0.024115
layer=12, head=0, value=0.024050
layer=25, head=7, value=0.023892
layer=24, head=10, value=0.023414
layer=12, head=4, value=0.023391
layer=18, head=4, value=0.023389
layer=16, head=8, value=0.023321
layer=22, head=7, value=0.023300
layer=7, head=4, value=0.023166
layer=10, head=6, value=0.023031
layer=26, head=10, value=0.023000
layer=19, head=0, value=0.022975
layer=9, head=0, value=0.022397
layer=1, head=1, value=0.022296
layer=20, head=11, value=0.022059
layer=4, head=6, value=0.021969
layer=13, head=6, value=0.021951
layer=21, head=2, value=0.021558
layer=9, head=5, value=0.021481
layer=12, head=11, value=0.021367
layer=15, head=9, value=0.020902
