# Top-200 coordinates for heatmap_norm_share_text heatmap (layer, head, value)
layer=15, head=9, value=0.237772
layer=0, head=6, value=0.190478
layer=7, head=14, value=0.170496
layer=0, head=13, value=0.167682
layer=16, head=4, value=0.163937
layer=0, head=15, value=0.162910
layer=0, head=1, value=0.125433
layer=0, head=5, value=0.117028
layer=1, head=5, value=0.114897
layer=21, head=4, value=0.109764
layer=20, head=4, value=0.107759
layer=2, head=15, value=0.107142
layer=15, head=11, value=0.095701
layer=4, head=0, value=0.094864
layer=22, head=6, value=0.088388
layer=15, head=14, value=0.082779
layer=0, head=11, value=0.078251
layer=0, head=10, value=0.069084
layer=0, head=7, value=0.069071
layer=15, head=7, value=0.065645
layer=5, head=8, value=0.064011
layer=21, head=0, value=0.063028
layer=2, head=13, value=0.059972
layer=15, head=4, value=0.059857
layer=2, head=6, value=0.058859
layer=17, head=11, value=0.057724
layer=4, head=1, value=0.057490
layer=0, head=12, value=0.057212
layer=3, head=2, value=0.052653
layer=26, head=0, value=0.051906
layer=20, head=13, value=0.051734
layer=1, head=4, value=0.049814
layer=14, head=2, value=0.049420
layer=21, head=13, value=0.049055
layer=2, head=14, value=0.048441
layer=0, head=9, value=0.047555
layer=26, head=15, value=0.046749
layer=25, head=5, value=0.046082
layer=8, head=10, value=0.044462
layer=27, head=7, value=0.043665
layer=27, head=15, value=0.043435
layer=26, head=14, value=0.042661
layer=12, head=7, value=0.039458
layer=20, head=12, value=0.039223
layer=10, head=14, value=0.039168
layer=9, head=1, value=0.039078
layer=1, head=8, value=0.039018
layer=3, head=12, value=0.038823
layer=17, head=0, value=0.038552
layer=9, head=6, value=0.038211

