# Top-200 coordinates for heatmap_norm_share_img heatmap (layer, head, value)
layer=1, head=12, value=0.626305
layer=4, head=9, value=0.563363
layer=1, head=13, value=0.480932
layer=3, head=10, value=0.467632
layer=2, head=5, value=0.452504
layer=8, head=8, value=0.386119
layer=1, head=10, value=0.286192
layer=0, head=15, value=0.251689
layer=0, head=11, value=0.234386
layer=23, head=5, value=0.232714
layer=2, head=4, value=0.185085
layer=9, head=15, value=0.183330
layer=3, head=0, value=0.176188
layer=2, head=14, value=0.175228
layer=8, head=4, value=0.174212
layer=9, head=6, value=0.153275
layer=9, head=2, value=0.152826
layer=2, head=6, value=0.147033
layer=12, head=8, value=0.143056
layer=25, head=0, value=0.137902
layer=4, head=12, value=0.132882
layer=2, head=10, value=0.128390
layer=4, head=11, value=0.123216
layer=8, head=7, value=0.121648
layer=9, head=3, value=0.117746
layer=4, head=2, value=0.115915
layer=24, head=2, value=0.115751
layer=2, head=7, value=0.113587
layer=12, head=12, value=0.111389
layer=2, head=11, value=0.110285
layer=23, head=12, value=0.109942
layer=17, head=1, value=0.109503
layer=21, head=3, value=0.109460
layer=6, head=15, value=0.105072
layer=21, head=8, value=0.105005
layer=22, head=6, value=0.104282
layer=14, head=1, value=0.103698
layer=8, head=3, value=0.102610
layer=9, head=8, value=0.101475
layer=8, head=10, value=0.100898
layer=2, head=8, value=0.100513
layer=26, head=4, value=0.100381
layer=2, head=15, value=0.099494
layer=24, head=12, value=0.097683
layer=26, head=0, value=0.095728
layer=22, head=4, value=0.092939
layer=22, head=9, value=0.092710
layer=21, head=0, value=0.092148
layer=8, head=14, value=0.091695
layer=20, head=8, value=0.091590
layer=10, head=6, value=0.090564
layer=6, head=1, value=0.089725
layer=12, head=13, value=0.089548
layer=19, head=14, value=0.089066
layer=20, head=4, value=0.088862
layer=9, head=13, value=0.088849
layer=11, head=13, value=0.086196
layer=3, head=1, value=0.085612
layer=11, head=12, value=0.084448
layer=12, head=9, value=0.082677
layer=8, head=2, value=0.082601
layer=6, head=14, value=0.082158
layer=22, head=8, value=0.081865
layer=26, head=15, value=0.080739
layer=14, head=11, value=0.080486
layer=26, head=3, value=0.077435
layer=12, head=7, value=0.077096
layer=24, head=13, value=0.076049
layer=7, head=14, value=0.075232
layer=15, head=2, value=0.074562
layer=8, head=15, value=0.074440
layer=13, head=2, value=0.074384
layer=18, head=0, value=0.073079
layer=4, head=13, value=0.070488
layer=18, head=1, value=0.069301
layer=17, head=13, value=0.068594
layer=21, head=5, value=0.066880
layer=5, head=5, value=0.066689
layer=20, head=11, value=0.066567
layer=16, head=14, value=0.065801
layer=10, head=11, value=0.065044
layer=9, head=14, value=0.064468
layer=12, head=15, value=0.064384
layer=17, head=12, value=0.063769
layer=20, head=15, value=0.063475
layer=26, head=13, value=0.062543
layer=11, head=11, value=0.062438
layer=24, head=5, value=0.062305
layer=20, head=10, value=0.061841
layer=9, head=12, value=0.061581
layer=26, head=2, value=0.061064
layer=26, head=14, value=0.060159
layer=25, head=13, value=0.058919
layer=9, head=4, value=0.058303
layer=14, head=2, value=0.058206
layer=0, head=0, value=0.057138
layer=27, head=7, value=0.054298
layer=13, head=15, value=0.053966
layer=19, head=0, value=0.053915
layer=16, head=12, value=0.053902
layer=26, head=7, value=0.053687
layer=17, head=3, value=0.053438
layer=24, head=14, value=0.053374
layer=21, head=11, value=0.053232
layer=14, head=7, value=0.053132
layer=11, head=8, value=0.052656
layer=26, head=8, value=0.052457
layer=23, head=4, value=0.052295
layer=12, head=14, value=0.051978
layer=17, head=11, value=0.050782
layer=22, head=0, value=0.050734
layer=21, head=9, value=0.050460
layer=19, head=2, value=0.050065
layer=12, head=6, value=0.050019
layer=17, head=7, value=0.049996
layer=21, head=1, value=0.049945
layer=27, head=13, value=0.049495
layer=26, head=5, value=0.049270
layer=8, head=1, value=0.049252
layer=24, head=7, value=0.049042
layer=25, head=8, value=0.048306
layer=13, head=7, value=0.048301
layer=25, head=10, value=0.047888
layer=0, head=5, value=0.047344
layer=22, head=5, value=0.047044
layer=25, head=5, value=0.046715
layer=24, head=0, value=0.046474
layer=17, head=8, value=0.046373
layer=25, head=9, value=0.045643
layer=9, head=5, value=0.045541
layer=9, head=0, value=0.045420
layer=19, head=3, value=0.045292
layer=10, head=3, value=0.043553
layer=14, head=0, value=0.043193
layer=15, head=0, value=0.042437
layer=14, head=6, value=0.042087
layer=21, head=13, value=0.041249
layer=1, head=5, value=0.040742
layer=22, head=12, value=0.040692
layer=19, head=12, value=0.040502
layer=22, head=10, value=0.040460
layer=23, head=1, value=0.040324
layer=18, head=7, value=0.039670
