# Top-200 coordinates for heatmap_norm_share_text heatmap (layer, head, value)
layer=0, head=6, value=0.578707
layer=0, head=13, value=0.506523
layer=15, head=9, value=0.446927
layer=0, head=0, value=0.438614
layer=0, head=5, value=0.380456
layer=0, head=11, value=0.298665
layer=0, head=4, value=0.293400
layer=0, head=15, value=0.288976
layer=2, head=3, value=0.266051
layer=4, head=0, value=0.242305
layer=1, head=5, value=0.240920
layer=1, head=8, value=0.234414
layer=7, head=14, value=0.232087
layer=2, head=15, value=0.228142
layer=0, head=12, value=0.204703
layer=0, head=8, value=0.203281
layer=15, head=14, value=0.187375
layer=20, head=4, value=0.181747
layer=2, head=11, value=0.178550
layer=8, head=10, value=0.178059
layer=17, head=11, value=0.175389
layer=16, head=4, value=0.173850
layer=1, head=15, value=0.164333
layer=1, head=6, value=0.154983
layer=0, head=14, value=0.150287
layer=0, head=1, value=0.150203
layer=2, head=9, value=0.149875
layer=2, head=2, value=0.148204
layer=22, head=6, value=0.142438
layer=15, head=2, value=0.137597
layer=15, head=4, value=0.137448
layer=4, head=1, value=0.137117
layer=27, head=7, value=0.136689
layer=15, head=7, value=0.135026
layer=2, head=13, value=0.133489
layer=2, head=10, value=0.132427
layer=17, head=1, value=0.131957
layer=14, head=2, value=0.130491
layer=21, head=0, value=0.127106
layer=5, head=5, value=0.126386
layer=0, head=10, value=0.125272
layer=2, head=14, value=0.120262
layer=1, head=4, value=0.119803
layer=27, head=13, value=0.119588
layer=5, head=13, value=0.119318
layer=4, head=3, value=0.118362
layer=14, head=10, value=0.117912
layer=12, head=7, value=0.117163
layer=15, head=11, value=0.116508
layer=8, head=3, value=0.115893
layer=17, head=13, value=0.112394
layer=15, head=15, value=0.111118
layer=3, head=2, value=0.106750
layer=2, head=4, value=0.106075
layer=15, head=0, value=0.103272
layer=17, head=12, value=0.101185
layer=14, head=1, value=0.098629
layer=0, head=7, value=0.097733
layer=17, head=0, value=0.097051
layer=0, head=9, value=0.096574
layer=9, head=6, value=0.096465
layer=12, head=13, value=0.096165
layer=12, head=3, value=0.095707
layer=1, head=13, value=0.095617
layer=10, head=3, value=0.094779
layer=27, head=9, value=0.094501
layer=9, head=2, value=0.094060
layer=23, head=12, value=0.091189
layer=9, head=1, value=0.090627
layer=10, head=14, value=0.089223
layer=3, head=12, value=0.086088
layer=9, head=0, value=0.085179
layer=1, head=9, value=0.084471
layer=1, head=12, value=0.083733
layer=6, head=15, value=0.081741
layer=7, head=5, value=0.079928
layer=21, head=13, value=0.079825
layer=12, head=5, value=0.077466
layer=26, head=7, value=0.077417
layer=17, head=3, value=0.077266
layer=24, head=0, value=0.076833
layer=14, head=11, value=0.076292
layer=12, head=8, value=0.076076
layer=0, head=2, value=0.075391
layer=3, head=14, value=0.074168
layer=26, head=15, value=0.073351
layer=3, head=0, value=0.069209
layer=21, head=1, value=0.067976
layer=26, head=0, value=0.067023
layer=5, head=8, value=0.067013
layer=21, head=4, value=0.066301
layer=14, head=9, value=0.065903
layer=20, head=12, value=0.065474
layer=2, head=8, value=0.065049
layer=5, head=4, value=0.063488
layer=17, head=7, value=0.062655
layer=18, head=15, value=0.062091
layer=14, head=7, value=0.062090
layer=8, head=2, value=0.061644
layer=1, head=10, value=0.061283
layer=4, head=12, value=0.061003
layer=2, head=6, value=0.060340
layer=11, head=8, value=0.059644
layer=12, head=9, value=0.059478
layer=17, head=9, value=0.057982
layer=8, head=14, value=0.057969
layer=27, head=15, value=0.057940
layer=11, head=15, value=0.057384
layer=1, head=11, value=0.056064
layer=14, head=0, value=0.055930
layer=14, head=3, value=0.055874
layer=16, head=12, value=0.055838
layer=25, head=0, value=0.055364
layer=22, head=15, value=0.055219
layer=13, head=6, value=0.054323
layer=4, head=11, value=0.053852
layer=18, head=2, value=0.052965
layer=6, head=0, value=0.051473
layer=14, head=6, value=0.051462
layer=23, head=11, value=0.051438
layer=9, head=13, value=0.051432
layer=22, head=4, value=0.051176
layer=17, head=4, value=0.050129
layer=9, head=5, value=0.049908
layer=25, head=8, value=0.049675
layer=20, head=13, value=0.049030
layer=12, head=4, value=0.048999
layer=22, head=8, value=0.048983
layer=7, head=6, value=0.048354
layer=26, head=13, value=0.048131
layer=6, head=14, value=0.047948
layer=13, head=5, value=0.047806
layer=8, head=7, value=0.047801
layer=22, head=14, value=0.046683
layer=3, head=11, value=0.046076
layer=8, head=4, value=0.045984
layer=8, head=8, value=0.045247
layer=13, head=12, value=0.045195
layer=13, head=7, value=0.044814
layer=7, head=12, value=0.044459
layer=8, head=15, value=0.044448
layer=24, head=9, value=0.044386
layer=13, head=2, value=0.043245
layer=26, head=14, value=0.043211
layer=20, head=8, value=0.043041
layer=7, head=0, value=0.042953
layer=11, head=5, value=0.042488
layer=14, head=13, value=0.042436
layer=18, head=12, value=0.041569
layer=1, head=14, value=0.041411
layer=26, head=5, value=0.041347
layer=8, head=13, value=0.040789
layer=19, head=2, value=0.040695
layer=19, head=12, value=0.040523
layer=23, head=13, value=0.038922
layer=20, head=15, value=0.038758
layer=21, head=14, value=0.038741
layer=25, head=13, value=0.038155
layer=13, head=15, value=0.038145
layer=25, head=5, value=0.038138
layer=16, head=0, value=0.038073
layer=26, head=8, value=0.037889
layer=12, head=6, value=0.037800
layer=11, head=10, value=0.037698
layer=1, head=7, value=0.037551
layer=9, head=15, value=0.037161
layer=15, head=8, value=0.036909
layer=16, head=9, value=0.036707
layer=8, head=1, value=0.036001
layer=2, head=1, value=0.035995
layer=18, head=7, value=0.035777
layer=4, head=10, value=0.035742
layer=24, head=11, value=0.035155
layer=22, head=9, value=0.035015
layer=24, head=12, value=0.034975
layer=7, head=4, value=0.034887
layer=15, head=5, value=0.034881
layer=19, head=3, value=0.034695
layer=25, head=9, value=0.033609
layer=10, head=11, value=0.033596
layer=1, head=1, value=0.033346
layer=26, head=4, value=0.033114
layer=18, head=13, value=0.032951
layer=14, head=5, value=0.032761
layer=24, head=3, value=0.032430
layer=17, head=8, value=0.031357
layer=13, head=4, value=0.031223
layer=10, head=15, value=0.031001
layer=4, head=9, value=0.030977
layer=2, head=5, value=0.030929
layer=1, head=0, value=0.030872
layer=26, head=3, value=0.030734
layer=26, head=2, value=0.029864
layer=21, head=11, value=0.029765
layer=24, head=5, value=0.029520
layer=22, head=10, value=0.029362
layer=23, head=4, value=0.029140
layer=12, head=15, value=0.029106
layer=15, head=10, value=0.028612
layer=22, head=12, value=0.028395
